Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 mar 2024,00:00,21 mar 2024,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,22 mar 2024,00:00,22 mar 2024,23:59,51.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 mar 2024,00:00,23 mar 2024,23:59,51.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,21 mar 2024,00:00,21 mar 2024,23:59,87.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,22 mar 2024,00:00,22 mar 2024,23:59,80.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,23 mar 2024,00:00,23 mar 2024,23:59,80.25,C
Ajuste da Rotação da Transmissão,"0,5 a 0,9",21 mar 2024,00:00,21 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,0 a 1,4",21 mar 2024,00:00,21 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"2,5 a 2,9",21 mar 2024,00:00,21 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"3,0 a 3,5",21 mar 2024,00:00,21 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,5 a 1,9",21 mar 2024,00:00,21 mar 2024,23:59,8.36,hr
Ajuste da Rotação da Transmissão,"2,0 a 2,4",21 mar 2024,00:00,21 mar 2024,23:59,8.53,hr
Ajuste da Rotação da Transmissão,"0,5 a 0,9",22 mar 2024,00:00,22 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,0 a 1,4",22 mar 2024,00:00,22 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"2,5 a 2,9",22 mar 2024,00:00,22 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"3,0 a 3,5",22 mar 2024,00:00,22 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,5 a 1,9",22 mar 2024,00:00,22 mar 2024,23:59,9.31,hr
Ajuste da Rotação da Transmissão,"2,0 a 2,4",22 mar 2024,00:00,22 mar 2024,23:59,6.95,hr
Ajuste da Rotação da Transmissão,"0,5 a 0,9",23 mar 2024,00:00,23 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,0 a 1,4",23 mar 2024,00:00,23 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"2,5 a 2,9",23 mar 2024,00:00,23 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"3,0 a 3,5",23 mar 2024,00:00,23 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,5 a 1,9",23 mar 2024,00:00,23 mar 2024,23:59,3.32,hr
Ajuste da Rotação da Transmissão,"2,0 a 2,4",23 mar 2024,00:00,23 mar 2024,23:59,2.77,hr
Combustível Consumido,Consumo de combustível,21 mar 2024,00:00,21 mar 2024,23:59,376.1,l
Combustível Consumido,Consumo de combustível,22 mar 2024,00:00,22 mar 2024,23:59,394.81,l
Combustível Consumido,Consumo de combustível,23 mar 2024,00:00,23 mar 2024,23:59,142.55,l
