Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 jul 2023,00:00,8 jul 2023,23:59,52.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 jul 2023,00:00,10 jul 2023,23:59,56.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,11 jul 2023,00:00,11 jul 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,12 jul 2023,00:00,12 jul 2023,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,13 jul 2023,00:00,13 jul 2023,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,14 jul 2023,00:00,14 jul 2023,23:59,52.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,15 jul 2023,00:00,15 jul 2023,23:59,52.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 jul 2023,00:00,17 jul 2023,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 jul 2023,00:00,18 jul 2023,23:59,54.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 jul 2023,00:00,19 jul 2023,23:59,56.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,20 jul 2023,00:00,20 jul 2023,23:59,56.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 jul 2023,00:00,21 jul 2023,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,22 jul 2023,00:00,22 jul 2023,23:59,54.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,24 jul 2023,00:00,24 jul 2023,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,25 jul 2023,00:00,25 jul 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,26 jul 2023,00:00,26 jul 2023,23:59,57.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,27 jul 2023,00:00,27 jul 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,28 jul 2023,00:00,28 jul 2023,23:59,54.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,29 jul 2023,00:00,29 jul 2023,23:59,54.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,31 jul 2023,00:00,31 jul 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,1 ago 2023,00:00,1 ago 2023,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,2 ago 2023,00:00,2 ago 2023,23:59,56.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,3 ago 2023,00:00,3 ago 2023,23:59,57.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 ago 2023,00:00,4 ago 2023,23:59,57.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,5 ago 2023,00:00,5 ago 2023,23:59,54.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,7 ago 2023,00:00,7 ago 2023,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 ago 2023,00:00,8 ago 2023,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 ago 2023,00:00,9 ago 2023,23:59,54.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 ago 2023,00:00,10 ago 2023,23:59,56.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,11 ago 2023,00:00,11 ago 2023,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,12 ago 2023,00:00,12 ago 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,14 ago 2023,00:00,14 ago 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,15 ago 2023,00:00,15 ago 2023,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,16 ago 2023,00:00,16 ago 2023,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 ago 2023,00:00,17 ago 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 ago 2023,00:00,18 ago 2023,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 ago 2023,00:00,19 ago 2023,23:59,51.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 ago 2023,00:00,21 ago 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,22 ago 2023,00:00,22 ago 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 ago 2023,00:00,23 ago 2023,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,24 ago 2023,00:00,24 ago 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,25 ago 2023,00:00,25 ago 2023,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,26 ago 2023,00:00,26 ago 2023,23:59,50.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,28 ago 2023,00:00,28 ago 2023,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,29 ago 2023,00:00,29 ago 2023,23:59,53.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,30 ago 2023,00:00,30 ago 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,31 ago 2023,00:00,31 ago 2023,23:59,53.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,1 set 2023,00:00,1 set 2023,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,2 set 2023,00:00,2 set 2023,23:59,53.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 set 2023,00:00,4 set 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,5 set 2023,00:00,5 set 2023,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,6 set 2023,00:00,6 set 2023,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,7 set 2023,00:00,7 set 2023,23:59,52.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 set 2023,00:00,8 set 2023,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 set 2023,00:00,9 set 2023,23:59,54.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 set 2023,00:00,10 set 2023,23:59,28.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,11 set 2023,00:00,11 set 2023,23:59,65.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,12 set 2023,00:00,12 set 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,13 set 2023,00:00,13 set 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,14 set 2023,00:00,14 set 2023,23:59,56.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,15 set 2023,00:00,15 set 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,16 set 2023,00:00,16 set 2023,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 set 2023,00:00,17 set 2023,23:59,37.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 set 2023,00:00,18 set 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 set 2023,00:00,19 set 2023,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,20 set 2023,00:00,20 set 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 set 2023,00:00,21 set 2023,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,22 set 2023,00:00,22 set 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 set 2023,00:00,23 set 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,25 set 2023,00:00,25 set 2023,23:59,68.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,26 set 2023,00:00,26 set 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,27 set 2023,00:00,27 set 2023,23:59,54.0,C
