Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temperatura Máxima do Óleo Hidráulico,Temperatura,15 set 2021,00:00,15 set 2021,23:59,50.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,16 set 2021,00:00,16 set 2021,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 set 2021,00:00,17 set 2021,23:59,67.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 set 2021,00:00,18 set 2021,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,20 set 2021,00:00,20 set 2021,23:59,68.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 set 2021,00:00,21 set 2021,23:59,67.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,22 set 2021,00:00,22 set 2021,23:59,69.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 set 2021,00:00,23 set 2021,23:59,71.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,24 set 2021,00:00,24 set 2021,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,25 set 2021,00:00,25 set 2021,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,26 set 2021,00:00,26 set 2021,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,27 set 2021,00:00,27 set 2021,23:59,70.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,28 set 2021,00:00,28 set 2021,23:59,68.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,29 set 2021,00:00,29 set 2021,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,30 set 2021,00:00,30 set 2021,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,1 out 2021,00:00,1 out 2021,23:59,68.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,2 out 2021,00:00,2 out 2021,23:59,67.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 out 2021,00:00,4 out 2021,23:59,68.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,5 out 2021,00:00,5 out 2021,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,6 out 2021,00:00,6 out 2021,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,7 out 2021,00:00,7 out 2021,23:59,68.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 out 2021,00:00,8 out 2021,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 out 2021,00:00,9 out 2021,23:59,70.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 out 2021,00:00,10 out 2021,23:59,25.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,12 out 2021,00:00,12 out 2021,23:59,70.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,13 out 2021,00:00,13 out 2021,23:59,70.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,14 out 2021,00:00,14 out 2021,23:59,70.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,15 out 2021,00:00,15 out 2021,23:59,67.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,16 out 2021,00:00,16 out 2021,23:59,70.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 out 2021,00:00,17 out 2021,23:59,69.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 out 2021,00:00,18 out 2021,23:59,69.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 out 2021,00:00,19 out 2021,23:59,68.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,20 out 2021,00:00,20 out 2021,23:59,67.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 out 2021,00:00,21 out 2021,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,22 out 2021,00:00,22 out 2021,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 out 2021,00:00,23 out 2021,23:59,67.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,25 out 2021,00:00,25 out 2021,23:59,69.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,26 out 2021,00:00,26 out 2021,23:59,68.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,27 out 2021,00:00,27 out 2021,23:59,65.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,28 out 2021,00:00,28 out 2021,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,29 out 2021,00:00,29 out 2021,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,3 nov 2021,00:00,3 nov 2021,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 nov 2021,00:00,4 nov 2021,23:59,64.0,C
