Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Uso do Motor,Carga Baixa,17 fev 2024,00:00,17 fev 2024,23:59,0.04,hr
Uso do Motor,Marcha Lenta,17 fev 2024,00:00,17 fev 2024,23:59,0.07,hr
Uso do Motor,Carga Alta,17 fev 2024,00:00,17 fev 2024,23:59,0.0,hr
Uso do Motor,Carga Média,17 fev 2024,00:00,17 fev 2024,23:59,0.0,hr
Uso do Motor,Chave-Ligada,17 fev 2024,00:00,17 fev 2024,23:59,0.01,hr
Uso do Motor,Carga Baixa,19 fev 2024,00:00,19 fev 2024,23:59,0.0,hr
Uso do Motor,Marcha Lenta,19 fev 2024,00:00,19 fev 2024,23:59,0.0,hr
Uso do Motor,Carga Alta,19 fev 2024,00:00,19 fev 2024,23:59,0.0,hr
Uso do Motor,Carga Média,19 fev 2024,00:00,19 fev 2024,23:59,0.0,hr
Uso do Motor,Chave-Ligada,19 fev 2024,00:00,19 fev 2024,23:59,0.01,hr
Uso do Motor,Carga Baixa,20 fev 2024,00:00,20 fev 2024,23:59,0.0,hr
Uso do Motor,Marcha Lenta,20 fev 2024,00:00,20 fev 2024,23:59,0.0,hr
Uso do Motor,Carga Alta,20 fev 2024,00:00,20 fev 2024,23:59,0.0,hr
Uso do Motor,Carga Média,20 fev 2024,00:00,20 fev 2024,23:59,0.0,hr
Uso do Motor,Chave-Ligada,20 fev 2024,00:00,20 fev 2024,23:59,0.1,hr
Uso do Motor,Carga Baixa,28 fev 2024,00:00,28 fev 2024,23:59,2.21,hr
Uso do Motor,Marcha Lenta,28 fev 2024,00:00,28 fev 2024,23:59,0.2,hr
Uso do Motor,Carga Alta,28 fev 2024,00:00,28 fev 2024,23:59,0.0,hr
Uso do Motor,Carga Média,28 fev 2024,00:00,28 fev 2024,23:59,0.0,hr
Uso do Motor,Chave-Ligada,28 fev 2024,00:00,28 fev 2024,23:59,0.02,hr
Uso do Motor,Carga Baixa,29 fev 2024,00:00,29 fev 2024,23:59,0.09,hr
Uso do Motor,Marcha Lenta,29 fev 2024,00:00,29 fev 2024,23:59,0.01,hr
Uso do Motor,Carga Alta,29 fev 2024,00:00,29 fev 2024,23:59,0.0,hr
Uso do Motor,Carga Média,29 fev 2024,00:00,29 fev 2024,23:59,0.0,hr
Uso do Motor,Chave-Ligada,29 fev 2024,00:00,29 fev 2024,23:59,0.01,hr
Uso do Motor,Carga Baixa,1 mar 2024,00:00,1 mar 2024,23:59,0.05,hr
Uso do Motor,Marcha Lenta,1 mar 2024,00:00,1 mar 2024,23:59,0.53,hr
Uso do Motor,Carga Alta,1 mar 2024,00:00,1 mar 2024,23:59,0.02,hr
Uso do Motor,Carga Média,1 mar 2024,00:00,1 mar 2024,23:59,0.03,hr
Uso do Motor,Chave-Ligada,1 mar 2024,00:00,1 mar 2024,23:59,0.02,hr
Uso do Motor,Carga Baixa,2 mar 2024,00:00,2 mar 2024,23:59,0.05,hr
Uso do Motor,Marcha Lenta,2 mar 2024,00:00,2 mar 2024,23:59,0.01,hr
Uso do Motor,Carga Alta,2 mar 2024,00:00,2 mar 2024,23:59,0.02,hr
Uso do Motor,Carga Média,2 mar 2024,00:00,2 mar 2024,23:59,0.11,hr
Uso do Motor,Chave-Ligada,2 mar 2024,00:00,2 mar 2024,23:59,0.01,hr
Uso do Motor,Carga Baixa,5 mar 2024,00:00,5 mar 2024,23:59,0.02,hr
Uso do Motor,Marcha Lenta,5 mar 2024,00:00,5 mar 2024,23:59,0.36,hr
Uso do Motor,Carga Alta,5 mar 2024,00:00,5 mar 2024,23:59,0.0,hr
Uso do Motor,Carga Média,5 mar 2024,00:00,5 mar 2024,23:59,0.02,hr
Uso do Motor,Chave-Ligada,5 mar 2024,00:00,5 mar 2024,23:59,0.02,hr
Uso do Motor,Carga Baixa,7 mar 2024,00:00,7 mar 2024,23:59,0.19,hr
Uso do Motor,Marcha Lenta,7 mar 2024,00:00,7 mar 2024,23:59,0.37,hr
Uso do Motor,Carga Alta,7 mar 2024,00:00,7 mar 2024,23:59,0.11,hr
Uso do Motor,Carga Média,7 mar 2024,00:00,7 mar 2024,23:59,0.43,hr
Uso do Motor,Chave-Ligada,7 mar 2024,00:00,7 mar 2024,23:59,0.09,hr
Uso do Motor,Carga Baixa,8 mar 2024,00:00,8 mar 2024,23:59,0.26,hr
Uso do Motor,Marcha Lenta,8 mar 2024,00:00,8 mar 2024,23:59,1.07,hr
Uso do Motor,Carga Alta,8 mar 2024,00:00,8 mar 2024,23:59,0.12,hr
Uso do Motor,Carga Média,8 mar 2024,00:00,8 mar 2024,23:59,0.34,hr
Uso do Motor,Chave-Ligada,8 mar 2024,00:00,8 mar 2024,23:59,0.08,hr
Uso do Motor,Carga Baixa,9 mar 2024,00:00,9 mar 2024,23:59,0.23,hr
Uso do Motor,Marcha Lenta,9 mar 2024,00:00,9 mar 2024,23:59,0.7,hr
Uso do Motor,Carga Alta,9 mar 2024,00:00,9 mar 2024,23:59,0.19,hr
Uso do Motor,Carga Média,9 mar 2024,00:00,9 mar 2024,23:59,0.73,hr
Uso do Motor,Chave-Ligada,9 mar 2024,00:00,9 mar 2024,23:59,0.63,hr
Uso do Motor,Carga Baixa,11 mar 2024,00:00,11 mar 2024,23:59,0.63,hr
Uso do Motor,Marcha Lenta,11 mar 2024,00:00,11 mar 2024,23:59,1.8,hr
Uso do Motor,Carga Alta,11 mar 2024,00:00,11 mar 2024,23:59,0.83,hr
Uso do Motor,Carga Média,11 mar 2024,00:00,11 mar 2024,23:59,2.89,hr
Uso do Motor,Chave-Ligada,11 mar 2024,00:00,11 mar 2024,23:59,0.11,hr
Uso do Motor,Carga Baixa,12 mar 2024,00:00,12 mar 2024,23:59,0.64,hr
Uso do Motor,Marcha Lenta,12 mar 2024,00:00,12 mar 2024,23:59,0.68,hr
Uso do Motor,Carga Alta,12 mar 2024,00:00,12 mar 2024,23:59,0.92,hr
Uso do Motor,Carga Média,12 mar 2024,00:00,12 mar 2024,23:59,1.79,hr
Uso do Motor,Chave-Ligada,12 mar 2024,00:00,12 mar 2024,23:59,0.18,hr
Uso do Motor,Carga Baixa,13 mar 2024,00:00,13 mar 2024,23:59,1.26,hr
Uso do Motor,Marcha Lenta,13 mar 2024,00:00,13 mar 2024,23:59,1.43,hr
Uso do Motor,Carga Alta,13 mar 2024,00:00,13 mar 2024,23:59,2.04,hr
Uso do Motor,Carga Média,13 mar 2024,00:00,13 mar 2024,23:59,4.75,hr
Uso do Motor,Chave-Ligada,13 mar 2024,00:00,13 mar 2024,23:59,0.06,hr
Uso do Motor,Carga Baixa,14 mar 2024,00:00,14 mar 2024,23:59,1.43,hr
Uso do Motor,Marcha Lenta,14 mar 2024,00:00,14 mar 2024,23:59,2.17,hr
Uso do Motor,Carga Alta,14 mar 2024,00:00,14 mar 2024,23:59,2.5,hr
Uso do Motor,Carga Média,14 mar 2024,00:00,14 mar 2024,23:59,3.6,hr
Uso do Motor,Chave-Ligada,14 mar 2024,00:00,14 mar 2024,23:59,0.19,hr
Uso do Motor,Carga Baixa,15 mar 2024,00:00,15 mar 2024,23:59,1.63,hr
Uso do Motor,Marcha Lenta,15 mar 2024,00:00,15 mar 2024,23:59,1.35,hr
Uso do Motor,Carga Alta,15 mar 2024,00:00,15 mar 2024,23:59,1.9,hr
Uso do Motor,Carga Média,15 mar 2024,00:00,15 mar 2024,23:59,4.44,hr
Uso do Motor,Chave-Ligada,15 mar 2024,00:00,15 mar 2024,23:59,0.33,hr
Uso do Motor,Carga Baixa,16 mar 2024,00:00,16 mar 2024,23:59,1.0,hr
Uso do Motor,Marcha Lenta,16 mar 2024,00:00,16 mar 2024,23:59,2.54,hr
Uso do Motor,Carga Alta,16 mar 2024,00:00,16 mar 2024,23:59,2.73,hr
Uso do Motor,Carga Média,16 mar 2024,00:00,16 mar 2024,23:59,4.85,hr
Uso do Motor,Chave-Ligada,16 mar 2024,00:00,16 mar 2024,23:59,0.07,hr
Uso do Motor,Carga Baixa,17 mar 2024,00:00,17 mar 2024,23:59,0.28,hr
Uso do Motor,Marcha Lenta,17 mar 2024,00:00,17 mar 2024,23:59,0.01,hr
Uso do Motor,Carga Alta,17 mar 2024,00:00,17 mar 2024,23:59,0.01,hr
Uso do Motor,Carga Média,17 mar 2024,00:00,17 mar 2024,23:59,0.17,hr
Uso do Motor,Chave-Ligada,17 mar 2024,00:00,17 mar 2024,23:59,0.01,hr
Uso do Combustível do Motor,Carga Baixa,17 fev 2024,00:00,17 fev 2024,23:59,0.17,l
Uso do Combustível do Motor,Marcha Lenta,17 fev 2024,00:00,17 fev 2024,23:59,0.25,l
Uso do Combustível do Motor,Carga Alta,17 fev 2024,00:00,17 fev 2024,23:59,0.0,l
Uso do Combustível do Motor,Carga Média,17 fev 2024,00:00,17 fev 2024,23:59,0.0,l
Uso do Combustível do Motor,Chave-Ligada,17 fev 2024,00:00,17 fev 2024,23:59,0.0,l
Uso do Combustível do Motor,Carga Baixa,19 fev 2024,00:00,19 fev 2024,23:59,0.02,l
Uso do Combustível do Motor,Marcha Lenta,19 fev 2024,00:00,19 fev 2024,23:59,0.01,l
Uso do Combustível do Motor,Carga Alta,19 fev 2024,00:00,19 fev 2024,23:59,0.0,l
Uso do Combustível do Motor,Carga Média,19 fev 2024,00:00,19 fev 2024,23:59,0.01,l
Uso do Combustível do Motor,Chave-Ligada,19 fev 2024,00:00,19 fev 2024,23:59,0.0,l
Uso do Combustível do Motor,Carga Baixa,20 fev 2024,00:00,20 fev 2024,23:59,0.0,l
Uso do Combustível do Motor,Marcha Lenta,20 fev 2024,00:00,20 fev 2024,23:59,0.0,l
Uso do Combustível do Motor,Carga Alta,20 fev 2024,00:00,20 fev 2024,23:59,0.0,l
Uso do Combustível do Motor,Carga Média,20 fev 2024,00:00,20 fev 2024,23:59,0.0,l
Uso do Combustível do Motor,Chave-Ligada,20 fev 2024,00:00,20 fev 2024,23:59,0.0,l
Uso do Combustível do Motor,Carga Baixa,28 fev 2024,00:00,28 fev 2024,23:59,11.96,l
Uso do Combustível do Motor,Marcha Lenta,28 fev 2024,00:00,28 fev 2024,23:59,0.6,l
Uso do Combustível do Motor,Carga Alta,28 fev 2024,00:00,28 fev 2024,23:59,0.02,l
Uso do Combustível do Motor,Carga Média,28 fev 2024,00:00,28 fev 2024,23:59,0.01,l
Uso do Combustível do Motor,Chave-Ligada,28 fev 2024,00:00,28 fev 2024,23:59,0.0,l
Uso do Combustível do Motor,Carga Baixa,29 fev 2024,00:00,29 fev 2024,23:59,0.47,l
Uso do Combustível do Motor,Marcha Lenta,29 fev 2024,00:00,29 fev 2024,23:59,0.05,l
