Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 ago 2023,00:00,23 ago 2023,23:59,36.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,25 ago 2023,00:00,25 ago 2023,23:59,52.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,26 ago 2023,00:00,26 ago 2023,23:59,49.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,1 set 2023,00:00,1 set 2023,23:59,68.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,2 set 2023,00:00,2 set 2023,23:59,70.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 set 2023,00:00,4 set 2023,23:59,65.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,5 set 2023,00:00,5 set 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,6 set 2023,00:00,6 set 2023,23:59,65.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 set 2023,00:00,8 set 2023,23:59,65.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 set 2023,00:00,9 set 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,11 set 2023,00:00,11 set 2023,23:59,71.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,12 set 2023,00:00,12 set 2023,23:59,54.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,13 set 2023,00:00,13 set 2023,23:59,39.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 set 2023,00:00,21 set 2023,23:59,33.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 set 2023,00:00,23 set 2023,23:59,22.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,25 set 2023,00:00,25 set 2023,23:59,25.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,27 set 2023,00:00,27 set 2023,23:59,31.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,28 set 2023,00:00,28 set 2023,23:59,74.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,29 set 2023,00:00,29 set 2023,23:59,78.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,30 set 2023,00:00,30 set 2023,23:59,76.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,2 out 2023,00:00,2 out 2023,23:59,73.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,3 out 2023,00:00,3 out 2023,23:59,78.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 out 2023,00:00,4 out 2023,23:59,66.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,5 out 2023,00:00,5 out 2023,23:59,45.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 out 2023,00:00,10 out 2023,23:59,36.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 out 2023,00:00,17 out 2023,23:59,36.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 out 2023,00:00,18 out 2023,23:59,68.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 out 2023,00:00,19 out 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,20 out 2023,00:00,20 out 2023,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 out 2023,00:00,21 out 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,22 out 2023,00:00,22 out 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 out 2023,00:00,23 out 2023,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,24 out 2023,00:00,24 out 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,25 out 2023,00:00,25 out 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,26 out 2023,00:00,26 out 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,27 out 2023,00:00,27 out 2023,23:59,64.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,28 out 2023,00:00,28 out 2023,23:59,61.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,29 out 2023,00:00,29 out 2023,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,30 out 2023,00:00,30 out 2023,23:59,63.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,31 out 2023,00:00,31 out 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,1 nov 2023,00:00,1 nov 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,3 nov 2023,00:00,3 nov 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 nov 2023,00:00,4 nov 2023,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,6 nov 2023,00:00,6 nov 2023,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,7 nov 2023,00:00,7 nov 2023,23:59,60.0,C
