Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temperatura Máxima do Óleo Hidráulico,Temperatura,7 mar 2024,00:00,7 mar 2024,23:59,40.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,15 mar 2024,00:00,15 mar 2024,23:59,38.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,7 mar 2024,00:00,7 mar 2024,23:59,50.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,15 mar 2024,00:00,15 mar 2024,23:59,50.25,C
Ajuste da Rotação da Transmissão,"0,5 a 0,9",7 mar 2024,00:00,7 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,0 a 1,4",7 mar 2024,00:00,7 mar 2024,23:59,0.22,hr
Ajuste da Rotação da Transmissão,"2,5 a 2,9",7 mar 2024,00:00,7 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"3,0 a 3,5",7 mar 2024,00:00,7 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,5 a 1,9",7 mar 2024,00:00,7 mar 2024,23:59,1.55,hr
Ajuste da Rotação da Transmissão,"2,0 a 2,4",7 mar 2024,00:00,7 mar 2024,23:59,0.03,hr
Ajuste da Rotação da Transmissão,"0,5 a 0,9",15 mar 2024,00:00,15 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,0 a 1,4",15 mar 2024,00:00,15 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"2,5 a 2,9",15 mar 2024,00:00,15 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"3,0 a 3,5",15 mar 2024,00:00,15 mar 2024,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,5 a 1,9",15 mar 2024,00:00,15 mar 2024,23:59,0.78,hr
Ajuste da Rotação da Transmissão,"2,0 a 2,4",15 mar 2024,00:00,15 mar 2024,23:59,0.0,hr
Combustível Consumido,Consumo de combustível,7 mar 2024,00:00,7 mar 2024,23:59,3.86,l
Combustível Consumido,Consumo de combustível,15 mar 2024,00:00,15 mar 2024,23:59,1.23,l
Taxa Média de Combustível,Taxa Média de Combustível,7 mar 2024,00:00,7 mar 2024,23:59,2.33,l/hr
Taxa Média de Combustível,Taxa Média de Combustível,15 mar 2024,00:00,15 mar 2024,23:59,1.96,l/hr
Uso do Combustível do Motor,Carga Baixa,7 mar 2024,00:00,7 mar 2024,23:59,1.19,l
Uso do Combustível do Motor,Marcha Lenta,7 mar 2024,00:00,7 mar 2024,23:59,2.59,l
Uso do Combustível do Motor,Carga Alta,7 mar 2024,00:00,7 mar 2024,23:59,0.05,l
Uso do Combustível do Motor,Carga Média,7 mar 2024,00:00,7 mar 2024,23:59,0.05,l
Uso do Combustível do Motor,Chave-Ligada,7 mar 2024,00:00,7 mar 2024,23:59,0.0,l
Uso do Combustível do Motor,Carga Baixa,15 mar 2024,00:00,15 mar 2024,23:59,0.11,l
Uso do Combustível do Motor,Marcha Lenta,15 mar 2024,00:00,15 mar 2024,23:59,1.11,l
Uso do Combustível do Motor,Carga Alta,15 mar 2024,00:00,15 mar 2024,23:59,0.01,l
Uso do Combustível do Motor,Carga Média,15 mar 2024,00:00,15 mar 2024,23:59,0.0,l
Uso do Combustível do Motor,Chave-Ligada,15 mar 2024,00:00,15 mar 2024,23:59,0.0,l
Distância Percorrida em Avanço e em Marcha à Ré,Avanço,7 mar 2024,00:00,7 mar 2024,23:59,0.04,km
Distância Percorrida em Avanço e em Marcha à Ré,Marcha à Ré,7 mar 2024,00:00,7 mar 2024,23:59,0.05,km
Distância Percorrida em Avanço e em Marcha à Ré,Avanço,15 mar 2024,00:00,15 mar 2024,23:59,0.02,km
Distância Percorrida em Avanço e em Marcha à Ré,Marcha à Ré,15 mar 2024,00:00,15 mar 2024,23:59,0.0,km
Temp. Máx. do Líq. de Arrefecimento,Temperatura,7 mar 2024,00:00,7 mar 2024,23:59,77.0,C
Temp. Máx. do Líq. de Arrefecimento,Temperatura,15 mar 2024,00:00,15 mar 2024,23:59,73.0,C
Tempo em Avanço e em Marcha à Ré,Avanço,7 mar 2024,00:00,7 mar 2024,23:59,0.29,hr
Tempo em Avanço e em Marcha à Ré,Marcha à Ré,7 mar 2024,00:00,7 mar 2024,23:59,0.24,hr
Tempo em Avanço e em Marcha à Ré,Neutro,7 mar 2024,00:00,7 mar 2024,23:59,0.27,hr
Tempo em Avanço e em Marcha à Ré,Estacionar,7 mar 2024,00:00,7 mar 2024,23:59,1.01,hr
Tempo em Avanço e em Marcha à Ré,Avanço,15 mar 2024,00:00,15 mar 2024,23:59,0.03,hr
Tempo em Avanço e em Marcha à Ré,Marcha à Ré,15 mar 2024,00:00,15 mar 2024,23:59,0.0,hr
Tempo em Avanço e em Marcha à Ré,Neutro,15 mar 2024,00:00,15 mar 2024,23:59,0.0,hr
Tempo em Avanço e em Marcha à Ré,Estacionar,15 mar 2024,00:00,15 mar 2024,23:59,0.75,hr
Uso do Motor,Carga Baixa,7 mar 2024,00:00,7 mar 2024,23:59,0.34,hr
Uso do Motor,Marcha Lenta,7 mar 2024,00:00,7 mar 2024,23:59,1.31,hr
Uso do Motor,Carga Alta,7 mar 2024,00:00,7 mar 2024,23:59,0.01,hr
Uso do Motor,Carga Média,7 mar 2024,00:00,7 mar 2024,23:59,0.01,hr
Uso do Motor,Chave-Ligada,7 mar 2024,00:00,7 mar 2024,23:59,0.14,hr
Uso do Motor,Carga Baixa,15 mar 2024,00:00,15 mar 2024,23:59,0.03,hr
Uso do Motor,Marcha Lenta,15 mar 2024,00:00,15 mar 2024,23:59,0.6,hr
Uso do Motor,Carga Alta,15 mar 2024,00:00,15 mar 2024,23:59,0.0,hr
