Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Taxa Média de Combustível,Taxa Média de Combustível,3 jul 2023,00:00,3 jul 2023,23:59,3.23,l/hr
Taxa Média de Combustível,Taxa Média de Combustível,4 jul 2023,00:00,4 jul 2023,23:59,2.52,l/hr
Nível do Tanque de Combustível,Nível de Combustível,23 jun 2023,00:00,23 jun 2023,23:59,98.8,%
Nível do Tanque de Combustível,Nível de Combustível,1 jul 2023,00:00,1 jul 2023,23:59,100.0,%
Nível do Tanque de Combustível,Nível de Combustível,3 jul 2023,00:00,3 jul 2023,23:59,96.0,%
Nível do Tanque de Combustível,Nível de Combustível,4 jul 2023,00:00,4 jul 2023,23:59,98.0,%
Nível do Tanque de Combustível,Nível de Combustível,5 jul 2023,00:00,5 jul 2023,23:59,98.0,%
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,23 jun 2023,00:00,23 jun 2023,23:59,50.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,1 jul 2023,00:00,1 jul 2023,23:59,34.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,3 jul 2023,00:00,3 jul 2023,23:59,49.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,4 jul 2023,00:00,4 jul 2023,23:59,50.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,5 jul 2023,00:00,5 jul 2023,23:59,25.75,C
Ajuste da Rotação da Transmissão,"0,5 a 0,9",23 jun 2023,00:00,23 jun 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,0 a 1,4",23 jun 2023,00:00,23 jun 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"2,5 a 2,9",23 jun 2023,00:00,23 jun 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"3,0 a 3,5",23 jun 2023,00:00,23 jun 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,5 a 1,9",23 jun 2023,00:00,23 jun 2023,23:59,0.39,hr
Ajuste da Rotação da Transmissão,"2,0 a 2,4",23 jun 2023,00:00,23 jun 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"0,5 a 0,9",1 jul 2023,00:00,1 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,0 a 1,4",1 jul 2023,00:00,1 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"2,5 a 2,9",1 jul 2023,00:00,1 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"3,0 a 3,5",1 jul 2023,00:00,1 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,5 a 1,9",1 jul 2023,00:00,1 jul 2023,23:59,0.09,hr
Ajuste da Rotação da Transmissão,"2,0 a 2,4",1 jul 2023,00:00,1 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"0,5 a 0,9",3 jul 2023,00:00,3 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,0 a 1,4",3 jul 2023,00:00,3 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"2,5 a 2,9",3 jul 2023,00:00,3 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"3,0 a 3,5",3 jul 2023,00:00,3 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,5 a 1,9",3 jul 2023,00:00,3 jul 2023,23:59,0.43,hr
Ajuste da Rotação da Transmissão,"2,0 a 2,4",3 jul 2023,00:00,3 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"0,5 a 0,9",4 jul 2023,00:00,4 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,0 a 1,4",4 jul 2023,00:00,4 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"2,5 a 2,9",4 jul 2023,00:00,4 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"3,0 a 3,5",4 jul 2023,00:00,4 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,5 a 1,9",4 jul 2023,00:00,4 jul 2023,23:59,0.51,hr
Ajuste da Rotação da Transmissão,"2,0 a 2,4",4 jul 2023,00:00,4 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"0,5 a 0,9",5 jul 2023,00:00,5 jul 2023,23:59,0.0,hr
Ajuste da Rotação da Transmissão,"1,0 a 1,4",5 jul 2023,00:00,5 jul 2023,23:59,0.0,hr
