Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temperatura Máxima do Óleo Hidráulico,Temperatura,16 out 2023,00:00,16 out 2023,23:59,115.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 out 2023,00:00,17 out 2023,23:59,114.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 out 2023,00:00,18 out 2023,23:59,120.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 out 2023,00:00,19 out 2023,23:59,35.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 out 2023,00:00,23 out 2023,23:59,36.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,24 out 2023,00:00,24 out 2023,23:59,28.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,7 nov 2023,00:00,7 nov 2023,23:59,26.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 nov 2023,00:00,8 nov 2023,23:59,30.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 nov 2023,00:00,9 nov 2023,23:59,33.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 nov 2023,00:00,10 nov 2023,23:59,25.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,13 nov 2023,00:00,13 nov 2023,23:59,23.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,14 nov 2023,00:00,14 nov 2023,23:59,31.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,15 nov 2023,00:00,15 nov 2023,23:59,43.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,16 nov 2023,00:00,16 nov 2023,23:59,29.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 nov 2023,00:00,17 nov 2023,23:59,30.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 nov 2023,00:00,19 nov 2023,23:59,27.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,24 nov 2023,00:00,24 nov 2023,23:59,32.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,30 nov 2023,00:00,30 nov 2023,23:59,28.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,1 dez 2023,00:00,1 dez 2023,23:59,34.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 dez 2023,00:00,4 dez 2023,23:59,26.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 dez 2023,00:00,21 dez 2023,23:59,30.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,28 dez 2023,00:00,28 dez 2023,23:59,45.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,29 dez 2023,00:00,29 dez 2023,23:59,35.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,2 jan 2024,00:00,2 jan 2024,23:59,32.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 jan 2024,00:00,8 jan 2024,23:59,34.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 jan 2024,00:00,9 jan 2024,23:59,62.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 jan 2024,00:00,10 jan 2024,23:59,72.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,11 jan 2024,00:00,11 jan 2024,23:59,70.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,12 jan 2024,00:00,12 jan 2024,23:59,52.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,13 jan 2024,00:00,13 jan 2024,23:59,41.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 jan 2024,00:00,17 jan 2024,23:59,29.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 jan 2024,00:00,18 jan 2024,23:59,25.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,26 jan 2024,00:00,26 jan 2024,23:59,26.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,29 jan 2024,00:00,29 jan 2024,23:59,27.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,30 jan 2024,00:00,30 jan 2024,23:59,28.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,5 fev 2024,00:00,5 fev 2024,23:59,33.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,7 fev 2024,00:00,7 fev 2024,23:59,33.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 fev 2024,00:00,9 fev 2024,23:59,53.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 fev 2024,00:00,10 fev 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,14 fev 2024,00:00,14 fev 2024,23:59,57.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,15 fev 2024,00:00,15 fev 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,16 fev 2024,00:00,16 fev 2024,23:59,25.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 fev 2024,00:00,18 fev 2024,23:59,52.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 fev 2024,00:00,19 fev 2024,23:59,58.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,16 out 2023,00:00,16 out 2023,23:59,75.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,17 out 2023,00:00,17 out 2023,23:59,77.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,18 out 2023,00:00,18 out 2023,23:59,79.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,19 out 2023,00:00,19 out 2023,23:59,41.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,23 out 2023,00:00,23 out 2023,23:59,43.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,24 out 2023,00:00,24 out 2023,23:59,41.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,25 out 2023,00:00,25 out 2023,23:59,26.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,26 out 2023,00:00,26 out 2023,23:59,27.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,1 nov 2023,00:00,1 nov 2023,23:59,24.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,7 nov 2023,00:00,7 nov 2023,23:59,37.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,8 nov 2023,00:00,8 nov 2023,23:59,50.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,9 nov 2023,00:00,9 nov 2023,23:59,54.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,10 nov 2023,00:00,10 nov 2023,23:59,30.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,13 nov 2023,00:00,13 nov 2023,23:59,25.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,14 nov 2023,00:00,14 nov 2023,23:59,52.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,15 nov 2023,00:00,15 nov 2023,23:59,63.5,C
